building_type,elemental_code,code_name,category,cost_per_sf_low,cost_per_sf_avg,cost_per_sf_high,mult_procurement_cmar,mult_procurement_hard_bid,mult_procurement_design_build,mult_procurement_csp,mult_construction_concrete,mult_construction_steel,mult_construction_mass_timber,mult_construction_wood_frame,mult_stories_1,mult_stories_2,mult_stories_3,mult_stories_4
Elementary,A10,Foundations,Substructure,12.00,15.00,18.00,0.900,1.100,1.000,1.050,0.950,1.000,1.250,0.850,1.000,1.050,1.100,1.150
Elementary,A20,Basement Construction,Substructure,8.00,10.00,12.00,0.900,1.100,1.000,1.050,0.900,1.000,1.200,0.800,1.000,1.030,1.060,1.090
Elementary,A30,Substructure Specialties,Substructure,2.00,3.00,4.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Elementary,B10,Floor Construction,Shell,18.00,22.00,28.00,0.900,1.100,1.000,1.050,0.850,1.000,1.350,0.750,1.000,1.080,1.160,1.240
Elementary,B20,Roof Construction,Shell,14.00,18.00,22.00,0.900,1.100,1.000,1.050,0.900,1.000,1.300,0.800,1.000,1.050,1.100,1.150
Elementary,B30,Structural Frame,Shell,22.00,28.00,35.00,0.900,1.100,1.000,1.050,0.800,1.000,1.400,0.700,1.000,1.100,1.200,1.300
Elementary,B40,Structural Specialties,Shell,3.00,4.00,5.00,0.900,1.100,1.000,1.050,1.000,1.000,1.100,0.950,1.000,1.020,1.040,1.060
Elementary,C10,Exterior Walls,Enclosure,25.00,32.00,40.00,0.900,1.100,1.000,1.050,0.950,1.000,1.150,0.900,1.000,1.030,1.060,1.090
Elementary,C20,Exterior Windows,Enclosure,12.00,16.00,20.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Elementary,C30,Exterior Doors,Enclosure,4.00,6.00,8.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Elementary,C40,Roofing,Enclosure,10.00,14.00,18.00,0.900,1.100,1.000,1.050,1.000,1.000,1.050,0.950,1.000,1.000,1.000,1.000
Elementary,C50,Exterior Specialties,Enclosure,2.00,3.00,4.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Elementary,D10,Interior Partitions,Interiors,8.00,12.00,16.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
